TYPE,VOLUME
1,4.267097
1,4.584286
1,4.714839
1,5.667333
1,5.178065
1,4.706
1,4.844516
1,4.516129
1,5.117333
1,4.668065
1,5.743
1,4.764839
2,3.530516
2,4.743
2,3.60529
2,3.590767
2,3.339419
2,3.807533
2,4.275774
2,3.700613
2,3.833067
2,4.174194
2,3.516233
2,3.645935
3,3.262903
3,4.094643
3,3.945161
3,2.82
3,2.883871
3,2.893333
3,2.812903
3,2.846774
3,2.883333
3,2.453226
3,3.405
3,2.733871
4,36.59113
4,44.83479
4,32.22977
4,26.77623
4,20.7951
4,19.4781
4,21.91452
4,23.67219
4,35.2754
4,36.42823
4,33.17167
4,39.15968
5,7.387907
5,9.571429
5,12.29032
5,9.633333
5,8.354839
5,8.266667
5,9.129032
5,8.16129
5,8.766667
5,9.258065
5,8.406667
5,8.193548
