2017datum,M01AB(1),2018DATUM,M01AB(2)
01-01-2017,3.54375,02-01-2018,5.34
01-02-2017,0.2125,02-02-2018,2.33
01-03-2017,6.25,02-03-2018,4.33
01-04-2017,6.804166667,02-04-2018,7.99
01-05-2017,7.504166667,02-05-2018,7.33
01-06-2017,4.583333333,02-06-2018,4.34
01-07-2017,2.916666667,02-07-2018,4.84
01-08-2017,5.416666667,02-08-2018,6.33
01-09-2017,3.8875,02-09-2018,3
01-10-2017,6.3875,02-10-2018,10.01
01-11-2017,9.308333333,02-11-2018,6.33
01-12-2017,8.333333333,02-12-2018,8
1/13/2017,6.804166667,2/13/2018,6
1/14/2017,5.975,2/14/2018,1
1/15/2017,8.05,2/15/2018,1.5
1/16/2017,6.670833333,2/16/2018,7.68
1/17/2017,7.225,2/17/2018,1.33
1/18/2017,6.741666667,2/18/2018,6
1/19/2017,5,2/19/2018,1
1/20/2017,3.608333333,2/20/2018,4.18
1/21/2017,5.695833333,2/21/2018,1.34
1/22/2017,4.5125,2/22/2018,5
1/23/2017,5.1375,2/23/2018,5.83
1/24/2017,6.1125,2/24/2018,8
1/25/2017,7.779166667,2/25/2018,4
1/26/2017,5.979166667,2/26/2018,1
1/27/2017,7.85,2/27/2018,3.33
1/28/2017,5.970833333,2/28/2018,1
1/29/2017,5.141666667,03-01-2018,1
1/30/2017,8.058333333,03-02-2018,4
1/31/2017,4.441666667,03-03-2018,8
02-01-2017,7.375,03-04-2018,1
02-02-2017,8.195833333,03-05-2018,4.33
02-03-2017,7.6375,03-06-2018,9.5
02-04-2017,7.779166667,03-07-2018,4.5
02-05-2017,10.67,03-08-2018,1.33
02-06-2017,10,03-09-2018,6.33
02-07-2017,3,03-10-2018,6
02-08-2017,11,03-11-2018,4.66
02-09-2017,3.9825,03-12-2018,9
02-10-2017,4.01,3/13/2018,2
02-11-2017,5.33,3/14/2018,2.34
02-12-2017,10,3/15/2018,3.34
2/13/2017,0,3/16/2018,3.33
2/14/2017,4.33,3/17/2018,3.99
2/15/2017,6,3/18/2018,7.33
2/16/2017,3.66,3/19/2018,4.34
2/17/2017,3,3/20/2018,2.67
2/18/2017,7,3/21/2018,2
2/19/2017,3.34,3/22/2018,3
2/20/2017,5,3/23/2018,5
2/21/2017,5,3/24/2018,7
2/22/2017,3.67,3/25/2018,4
2/23/2017,6.67,3/26/2018,5
2/24/2017,1,3/27/2018,4.34
2/25/2017,6,3/28/2018,5.5
2/26/2017,5.33,3/29/2018,7
2/27/2017,5.67,3/30/2018,5.33
2/28/2017,5.34,3/31/2018,9
03-01-2017,4,04-01-2018,6.83
03-02-2017,5,04-02-2018,5.66
03-03-2017,9,04-03-2018,1
03-04-2017,5.01,04-04-2018,6.01
03-05-2017,12.33,04-05-2018,6.33
03-06-2017,6.83,04-06-2018,3.67
03-07-2017,2.34,04-07-2018,16.18
03-08-2017,1,04-08-2018,0
03-09-2017,11.33,04-09-2018,5
03-10-2017,2,04-10-2018,2
03-11-2017,6.33,04-11-2018,6.67
03-12-2017,7.68,04-12-2018,5
3/13/2017,2.33,4/13/2018,4.5
3/14/2017,2.67,4/14/2018,8
3/15/2017,3.66,4/15/2018,7.66
3/16/2017,6,4/16/2018,2
3/17/2017,4.33,4/17/2018,3.34
3/18/2017,5,4/18/2018,5
3/19/2017,10,4/19/2018,5
3/20/2017,1.66,4/20/2018,5
3/21/2017,9.16,4/21/2018,3.5
3/22/2017,1.66,4/22/2018,6
3/23/2017,7.34,4/23/2018,7
3/24/2017,1.67,4/24/2018,6
3/25/2017,10,4/25/2018,9
3/26/2017,5.34,4/26/2018,5.33
3/27/2017,4.84,4/27/2018,6.68
3/28/2017,2.67,4/28/2018,9.33
3/29/2017,6.34,4/29/2018,7.33
3/30/2017,1.33,4/30/2018,5
3/31/2017,4,05-01-2018,2.34
04-01-2017,2.33,05-02-2018,6
04-02-2017,6.67,05-03-2018,2.33
04-03-2017,6.33,05-04-2018,1
04-04-2017,0.33,05-05-2018,9
04-05-2017,5,05-06-2018,3.34
04-06-2017,5,05-07-2018,9.66
04-07-2017,3.5,05-08-2018,10.5
04-08-2017,7.51,05-09-2018,9.34
04-09-2017,4.99,05-10-2018,8.5
04-10-2017,8.66,05-11-2018,9.33
04-11-2017,4,05-12-2018,1.33
04-12-2017,11.99,5/13/2018,5.16
4/13/2017,5,5/14/2018,6
4/14/2017,7.34,5/15/2018,4
4/15/2017,11.67,5/16/2018,4.01
4/16/2017,0,5/17/2018,2
4/17/2017,4,5/18/2018,2.34
4/18/2017,7.33,5/19/2018,2.34
4/19/2017,1,5/20/2018,7
